estacion,hora,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Disc Panamericana,16,1.0000,8.0000,null,1.0000,null,8.0000,null,8.0000
Cabildo,20,19.0000,27.0000,9.0000,10.0000,4.0000,23.0000,2.0000,10.0000
Santa Rita,16,24.0000,82.0000,4.0000,20.0000,2.0000,80.0000,2.0000,79.0000
Cabildo,3,20.0000,11.0000,7.0000,13.0000,4.0000,7.0000,3.0000,7.0000
Olivos,0,83.0000,70.0000,72.0000,11.0000,4.0000,66.0000,null,62.0000
Parque Sarmiento,12,31.0000,51.0000,25.0000,6.0000,3.0000,48.0000,5.0000,41.0000
Amanecer,2,22.0000,37.0000,5.0000,17.0000,null,37.0000,3.0000,37.0000
Las Heras,2,33.0000,28.0000,11.0000,22.0000,5.0000,23.0000,8.0000,26.0000
Amanecer,23,16.0000,42.0000,4.0000,12.0000,null,42.0000,4.0000,42.0000
Amanecer,7,176.0000,220.0000,60.0000,116.0000,null,220.0000,66.0000,220.0000
Lima,17,686.0000,471.0000,197.0000,489.0000,41.0000,430.0000,204.0000,353.0000
Gral Paz Provincia,9,309.0000,422.0000,127.0000,182.0000,61.0000,361.0000,56.0000,318.0000
Santa Rita,19,45.0000,77.0000,10.0000,35.0000,5.0000,72.0000,2.0000,72.0000
Centenera,12,29.0000,66.0000,9.0000,20.0000,2.0000,64.0000,12.0000,61.0000
Florencio Varela,13,41.0000,173.0000,12.0000,29.0000,36.0000,137.0000,4.0000,147.0000
Lima,19,511.0000,305.0000,163.0000,348.0000,36.0000,269.0000,148.0000,236.0000
San Isidro,13,84.0000,155.0000,30.0000,54.0000,14.0000,141.0000,13.0000,146.0000
Gral Paz Capital,23,81.0000,118.0000,62.0000,19.0000,null,118.0000,12.0000,118.0000
San Isidro,3,28.0000,13.0000,7.0000,21.0000,3.0000,10.0000,5.0000,10.0000
Zarate Brazo Largo,14,37.0000,65.0000,24.0000,13.0000,1.0000,64.0000,null,65.0000
Boulevard,7,269.0000,132.0000,77.0000,192.0000,17.0000,115.0000,117.0000,110.0000
Villa Luro,11,122.0000,322.0000,37.0000,85.0000,32.0000,290.0000,29.0000,181.0000
Bonpland,14,126.0000,257.0000,57.0000,69.0000,17.0000,240.0000,18.0000,177.0000
Maipu,17,59.0000,219.0000,28.0000,31.0000,9.0000,210.0000,null,201.0000
DISC Caraffa,9,37.0000,41.0000,null,37.0000,3.0000,38.0000,5.0000,26.0000
San Isidro,20,36.0000,87.0000,11.0000,25.0000,5.0000,82.0000,3.0000,70.0000
Gral Paz Capital,15,119.0000,446.0000,61.0000,58.0000,null,446.0000,51.0000,446.0000
Amanecer,10,111.0000,161.0000,41.0000,70.0000,null,161.0000,33.0000,161.0000
Lima,8,521.0000,290.0000,211.0000,310.0000,39.0000,251.0000,125.0000,209.0000
Anchorena,22,null,15.0000,null,null,5.0000,10.0000,null,15.0000
Boulevard,23,null,null,null,null,null,null,null,null
Mitre,20,null,null,null,null,null,null,null,null
Alberdi,1,null,31.0000,null,null,null,31.0000,null,25.0000
DISC Echeverria,2,null,23.0000,null,null,null,23.0000,null,5.0000
Santa Fe,15,22.0000,14.0000,4.0000,18.0000,null,14.0000,9.0000,9.0000
Centenera,4,12.0000,9.0000,5.0000,7.0000,3.0000,6.0000,7.0000,6.0000
Trelles,4,25.0000,21.0000,12.0000,13.0000,null,21.0000,13.0000,1.0000
Cabildo,6,83.0000,44.0000,48.0000,35.0000,22.0000,22.0000,6.0000,29.0000
Bonpland,13,99.0000,193.0000,41.0000,58.0000,25.0000,168.0000,13.0000,128.0000
Gral Paz Capital,3,100.0000,94.0000,70.0000,30.0000,null,94.0000,25.0000,94.0000
Rosario Sur,8,null,null,null,null,null,null,null,null
El Club,7,243.0000,234.0000,115.0000,128.0000,66.0000,168.0000,46.0000,187.0000
La Bandera,19,30.0000,209.0000,19.0000,11.0000,4.0000,205.0000,7.0000,133.0000
Parque Sarmiento,16,61.0000,83.0000,28.0000,33.0000,7.0000,76.0000,28.0000,73.0000
Alsina,6,70.0000,66.0000,16.0000,54.0000,2.0000,64.0000,10.0000,64.0000
Congreso,1,49.0000,46.0000,17.0000,32.0000,11.0000,35.0000,null,45.0000
Pilar,22,27.0000,36.0000,7.0000,20.0000,5.0000,31.0000,7.0000,36.0000
Alvear,15,155.0000,550.0000,43.0000,112.0000,65.0000,485.0000,35.0000,450.0000
Zarate,14,63.0000,32.0000,30.0000,33.0000,8.0000,24.0000,3.0000,30.0000
Ovidio Lagos,16,84.0000,228.0000,29.0000,55.0000,6.0000,222.0000,null,228.0000
Santa Rita,11,42.0000,118.0000,4.0000,38.0000,2.0000,116.0000,1.0000,113.0000
Emilio Castro,8,165.0000,48.0000,74.0000,91.0000,12.0000,36.0000,29.0000,36.0000
Quilmes,2,38.0000,28.0000,16.0000,22.0000,4.0000,24.0000,7.0000,18.0000
Buen Ayre,2,27.0000,13.0000,12.0000,15.0000,2.0000,11.0000,8.0000,8.0000
Dialogos,20,48.0000,53.0000,23.0000,25.0000,19.0000,34.0000,3.0000,49.0000
Maschwitz,20,null,29.0000,null,null,null,29.0000,null,25.0000
Maipu,7,50.0000,125.0000,25.0000,25.0000,17.0000,108.0000,null,124.0000
Laferrere,4,73.0000,29.0000,33.0000,40.0000,8.0000,21.0000,19.0000,15.0000
Centenera,19,32.0000,23.0000,15.0000,17.0000,6.0000,17.0000,10.0000,19.0000
Cabildo,10,92.0000,55.0000,51.0000,41.0000,5.0000,50.0000,5.0000,18.0000
Olivos,22,38.0000,50.0000,34.0000,4.0000,5.0000,45.0000,null,35.0000
Buen Ayre,11,122.0000,249.0000,52.0000,70.0000,25.0000,224.0000,24.0000,201.0000
Maipu,0,50.0000,80.0000,46.0000,4.0000,4.0000,76.0000,null,80.0000
Zarate,7,234.0000,40.0000,135.0000,99.0000,12.0000,28.0000,11.0000,40.0000
Garay,13,48.0000,172.0000,22.0000,26.0000,6.0000,166.0000,3.0000,111.0000
Santa Rita,7,121.0000,54.0000,17.0000,104.0000,2.0000,52.0000,2.0000,52.0000
Parque Sarmiento,3,17.0000,8.0000,14.0000,3.0000,null,8.0000,1.0000,8.0000
Emilio Castro,18,29.0000,28.0000,12.0000,17.0000,4.0000,24.0000,7.0000,21.0000
Laferrere,18,39.0000,65.0000,28.0000,11.0000,10.0000,55.0000,6.0000,23.0000
Laferrere,19,31.0000,73.0000,20.0000,11.0000,13.0000,60.0000,4.0000,28.0000
La Carmela,3,61.0000,31.0000,18.0000,43.0000,11.0000,20.0000,28.0000,31.0000
Santa Rita,0,57.0000,54.0000,6.0000,51.0000,3.0000,51.0000,4.0000,51.0000
Congreso,21,22.0000,22.0000,9.0000,13.0000,null,22.0000,null,22.0000
Alberdi,2,null,24.0000,null,null,null,24.0000,null,18.0000
Zarate Brazo Largo,8,98.0000,95.0000,67.0000,31.0000,1.0000,94.0000,null,95.0000
Zarate Brazo Largo,6,174.0000,58.0000,132.0000,42.0000,2.0000,56.0000,2.0000,58.0000
AUBASA LP-BA,17,288.0000,293.0000,92.0000,196.0000,32.0000,261.0000,63.0000,207.0000
Gutierrez,15,56.0000,110.0000,19.0000,37.0000,7.0000,103.0000,11.0000,91.0000
AUBASA LP-BA,21,63.0000,61.0000,19.0000,44.0000,2.0000,59.0000,18.0000,45.0000
Luis Viale,20,34.0000,103.0000,14.0000,20.0000,7.0000,96.0000,8.0000,88.0000
Alsina,14,33.0000,170.0000,6.0000,27.0000,10.0000,160.0000,12.0000,163.0000
Parque Sarmiento,8,105.0000,85.0000,74.0000,31.0000,10.0000,75.0000,13.0000,69.0000
Mitre,6,null,null,null,null,null,null,null,null
Arroyo Seco,22,195.0000,84.0000,68.0000,127.0000,18.0000,66.0000,39.0000,53.0000
Ovidio Lagos,23,31.0000,110.0000,3.0000,28.0000,13.0000,97.0000,null,110.0000
Disc Panamericana,2,3.0000,null,3.0000,null,null,null,null,null
Rivadavia,22,null,null,null,null,null,null,null,null
Disc Panamericana,21,null,5.0000,null,null,null,5.0000,null,5.0000
Libertador,7,149.0000,76.0000,70.0000,79.0000,18.0000,58.0000,21.0000,54.0000
Maipu,18,45.0000,153.0000,20.0000,25.0000,5.0000,148.0000,null,145.0000
El Club,20,58.0000,205.0000,16.0000,42.0000,18.0000,187.0000,14.0000,159.0000
Congreso,23,26.0000,31.0000,12.0000,14.0000,1.0000,30.0000,null,31.0000
Olivos,6,116.0000,79.0000,98.0000,18.0000,23.0000,56.0000,3.0000,72.0000
AUBASA BA-LP,5,159.0000,38.0000,75.0000,84.0000,10.0000,28.0000,27.0000,31.0000
Quilmes,9,226.0000,179.0000,138.0000,88.0000,24.0000,155.0000,30.0000,100.0000
Zarate Brazo Largo,23,23.0000,45.0000,22.0000,1.0000,null,45.0000,null,45.0000
Anchorena,3,null,20.0000,null,null,10.0000,10.0000,null,20.0000
Santa Rita,21,25.0000,23.0000,2.0000,23.0000,null,23.0000,null,21.0000
Bulnes,4,null,null,null,null,null,null,null,null
America,1,30.0000,42.0000,15.0000,15.0000,null,42.0000,6.0000,42.0000
Trelles,11,52.0000,81.0000,32.0000,20.0000,7.0000,74.0000,17.0000,16.0000
La Carmela,22,21.0000,36.0000,3.0000,18.0000,5.0000,31.0000,8.0000,36.0000
Arroyo Seco,11,622.0000,557.0000,290.0000,332.0000,66.0000,491.0000,75.0000,249.0000
Olivos,20,32.0000,70.0000,23.0000,9.0000,8.0000,62.0000,2.0000,51.0000
Olivos,14,51.0000,107.0000,42.0000,9.0000,11.0000,96.0000,3.0000,90.0000
Rosario Sur,16,null,null,null,null,null,null,null,null
Congreso,14,57.0000,96.0000,33.0000,24.0000,7.0000,89.0000,2.0000,96.0000
Cabildo,19,37.0000,33.0000,18.0000,19.0000,11.0000,22.0000,1.0000,15.0000
Villa Luro,14,62.0000,169.0000,18.0000,44.0000,10.0000,159.0000,13.0000,113.0000
Gutierrez,22,32.0000,26.0000,5.0000,27.0000,2.0000,24.0000,6.0000,21.0000
America,21,25.0000,62.0000,10.0000,15.0000,null,62.0000,6.0000,62.0000
Gral Paz Provincia,16,158.0000,357.0000,52.0000,106.0000,32.0000,325.0000,34.0000,279.0000
Disc Panamericana,7,6.0000,3.0000,1.0000,5.0000,null,3.0000,null,3.0000
Quilmes,22,28.0000,35.0000,10.0000,18.0000,1.0000,34.0000,8.0000,19.0000
Maschwitz,15,null,59.0000,null,null,null,59.0000,null,47.0000
DISC Caraffa,10,25.0000,61.0000,null,25.0000,6.0000,55.0000,5.0000,46.0000
Rivadavia,6,null,null,null,null,null,null,null,null
Villa Luro,9,206.0000,271.0000,76.0000,130.0000,31.0000,240.0000,37.0000,158.0000
Olivos,1,42.0000,40.0000,35.0000,7.0000,5.0000,35.0000,3.0000,33.0000
El Arco,10,168.0000,225.0000,97.0000,71.0000,10.0000,215.0000,23.0000,141.0000
Emilio Castro,9,142.0000,49.0000,55.0000,87.0000,4.0000,45.0000,18.0000,34.0000
Zarate,5,4.0000,null,3.0000,1.0000,null,null,null,null
Lima,5,392.0000,88.0000,126.0000,266.0000,15.0000,73.0000,132.0000,67.0000
Villa Luro,0,28.0000,82.0000,4.0000,24.0000,8.0000,74.0000,7.0000,60.0000
La Bandera,3,null,null,null,null,null,null,null,null
Santa Rita,2,26.0000,24.0000,7.0000,19.0000,5.0000,19.0000,null,24.0000
Las Heras,17,108.0000,80.0000,45.0000,63.0000,7.0000,73.0000,14.0000,66.0000
Parque Sarmiento,20,19.0000,51.0000,3.0000,16.0000,null,51.0000,13.0000,47.0000
Amanecer,15,40.0000,175.0000,12.0000,28.0000,null,175.0000,5.0000,175.0000
America,6,201.0000,30.0000,107.0000,94.0000,null,30.0000,45.0000,30.0000
Emilio Castro,5,37.0000,25.0000,15.0000,22.0000,null,25.0000,3.0000,20.0000
Del Tejar,3,32.0000,36.0000,15.0000,17.0000,1.0000,35.0000,2.0000,36.0000
Rosario Sur,9,null,null,null,null,null,null,null,null
Maschwitz,4,null,58.0000,null,null,null,58.0000,null,51.0000
Rosario Sur,18,null,null,null,null,null,null,null,null
Gral Paz Provincia,18,147.0000,274.0000,67.0000,80.0000,31.0000,243.0000,32.0000,217.0000
Congreso,6,127.0000,112.0000,74.0000,53.0000,5.0000,107.0000,2.0000,112.0000
La Bandera,23,null,null,null,null,null,null,null,null
Bonpland,12,119.0000,239.0000,55.0000,64.0000,24.0000,215.0000,5.0000,172.0000
Anchorena,10,null,28.0000,null,null,12.0000,16.0000,null,28.0000
Del Tejar,5,52.0000,44.0000,26.0000,26.0000,5.0000,39.0000,8.0000,44.0000
Parque Sarmiento,17,58.0000,78.0000,20.0000,38.0000,6.0000,72.0000,28.0000,67.0000
Dialogos,21,15.0000,37.0000,10.0000,5.0000,4.0000,33.0000,null,32.0000
Zarate,23,20.0000,2.0000,9.0000,11.0000,null,2.0000,1.0000,2.0000
Alberdi,21,null,28.0000,null,null,null,28.0000,null,26.0000
AUBASA LP-BA,4,116.0000,19.0000,33.0000,83.0000,4.0000,15.0000,36.0000,11.0000
Zarate,2,25.0000,6.0000,5.0000,20.0000,1.0000,5.0000,5.0000,6.0000
Bulnes,6,19.0000,10.0000,9.0000,10.0000,2.0000,8.0000,2.0000,7.0000
AUBASA BA-LP,22,73.0000,67.0000,17.0000,56.0000,6.0000,61.0000,26.0000,48.0000
Olivos,12,59.0000,148.0000,51.0000,8.0000,14.0000,134.0000,null,140.0000
DISC Echeverria,13,null,21.0000,null,null,null,21.0000,null,9.0000
Mitre,1,null,null,null,null,null,null,null,null
Libertador,12,86.0000,189.0000,23.0000,63.0000,6.0000,183.0000,14.0000,135.0000
Quilmes,23,33.0000,31.0000,13.0000,20.0000,1.0000,30.0000,5.0000,20.0000
Lima,14,388.0000,359.0000,82.0000,306.0000,11.0000,348.0000,137.0000,255.0000
Maschwitz,0,null,8.0000,null,null,null,8.0000,null,8.0000
Centenera,0,12.0000,9.0000,8.0000,4.0000,null,9.0000,1.0000,6.0000
Laferrere,10,67.0000,69.0000,42.0000,25.0000,7.0000,62.0000,7.0000,32.0000
Gral Paz Capital,7,484.0000,148.0000,274.0000,210.0000,null,148.0000,171.0000,148.0000
Laferrere,2,39.0000,30.0000,8.0000,31.0000,5.0000,25.0000,9.0000,14.0000
America,15,87.0000,137.0000,35.0000,52.0000,null,137.0000,28.0000,137.0000
Bonpland,22,95.0000,107.0000,35.0000,60.0000,12.0000,95.0000,21.0000,86.0000
Los Incas,8,201.0000,2.0000,168.0000,33.0000,null,2.0000,15.0000,2.0000
Rivadavia,11,null,null,null,null,null,null,null,null
Alberdi,13,null,47.0000,null,null,null,47.0000,null,42.0000
Emilio Castro,6,177.0000,10.0000,97.0000,80.0000,5.0000,5.0000,32.0000,10.0000
Floresta,2,39.0000,32.0000,7.0000,32.0000,4.0000,28.0000,3.0000,32.0000
Lima,7,570.0000,194.0000,240.0000,330.0000,43.0000,151.0000,155.0000,131.0000
Gral Paz Capital,17,172.0000,286.0000,101.0000,71.0000,null,286.0000,61.0000,286.0000
Emilio Castro,13,21.0000,40.0000,6.0000,15.0000,6.0000,34.0000,4.0000,27.0000
Floresta,13,28.0000,74.0000,7.0000,21.0000,4.0000,70.0000,null,74.0000
Arroyo Seco,21,340.0000,152.0000,132.0000,208.0000,24.0000,128.0000,74.0000,86.0000
Olivos,13,40.0000,129.0000,36.0000,4.0000,12.0000,117.0000,null,122.0000
La Bandera,0,null,null,null,null,null,null,null,null
Maschwitz,12,null,35.0000,null,null,null,35.0000,null,34.0000
America,9,174.0000,110.0000,80.0000,94.0000,null,110.0000,39.0000,110.0000
San Isidro,17,118.0000,237.0000,21.0000,97.0000,10.0000,227.0000,27.0000,187.0000
Emilio Castro,1,32.0000,12.0000,10.0000,22.0000,2.0000,10.0000,7.0000,10.0000
Zarate Brazo Largo,11,59.0000,100.0000,48.0000,11.0000,2.0000,98.0000,null,100.0000
Dialogos,2,1.0000,null,null,1.0000,null,null,null,null
Santa Fe,16,36.0000,21.0000,12.0000,24.0000,null,21.0000,10.0000,20.0000
Alberdi,9,null,94.0000,null,null,null,94.0000,null,89.0000
Del Tejar,18,61.0000,152.0000,28.0000,33.0000,32.0000,120.0000,2.0000,152.0000
Del Tejar,20,33.0000,59.0000,14.0000,19.0000,8.0000,51.0000,3.0000,59.0000
La Carmela,14,44.0000,62.0000,16.0000,28.0000,2.0000,60.0000,14.0000,62.0000
Los Incas,10,115.0000,2.0000,92.0000,23.0000,null,2.0000,7.0000,2.0000
DISC Echeverria,11,null,53.0000,null,null,null,53.0000,null,15.0000
America,19,50.0000,112.0000,16.0000,34.0000,null,112.0000,11.0000,112.0000
AUBASA BA-LP,21,71.0000,63.0000,26.0000,45.0000,12.0000,51.0000,22.0000,45.0000
Gutierrez,3,133.0000,25.0000,29.0000,104.0000,4.0000,21.0000,11.0000,23.0000
Santa Rita,17,45.0000,116.0000,5.0000,40.0000,7.0000,109.0000,null,110.0000
Alvear,1,65.0000,203.0000,22.0000,43.0000,26.0000,177.0000,20.0000,158.0000
Rosario Sur,20,null,null,null,null,null,null,null,null
Luis Viale,12,78.0000,194.0000,8.0000,70.0000,4.0000,190.0000,8.0000,144.0000
Mitre,22,null,null,null,null,null,null,null,null
Ovidio Lagos,0,33.0000,124.0000,7.0000,26.0000,9.0000,115.0000,null,124.0000
AUBASA BA-LP,2,54.0000,44.0000,13.0000,41.0000,1.0000,43.0000,13.0000,35.0000
Buen Ayre,7,232.0000,97.0000,122.0000,110.0000,18.0000,79.0000,39.0000,69.0000
Amanecer,13,33.0000,156.0000,6.0000,27.0000,null,156.0000,16.0000,156.0000
Fisherton,13,36.0000,347.0000,8.0000,28.0000,null,347.0000,8.0000,290.0000
Centenera,10,101.0000,111.0000,47.0000,54.0000,12.0000,99.0000,27.0000,102.0000
Alvear,0,88.0000,212.0000,17.0000,71.0000,25.0000,187.0000,30.0000,180.0000
La Bandera,4,null,null,null,null,null,null,null,null
DISC Caraffa,18,4.0000,48.0000,null,4.0000,2.0000,46.0000,null,43.0000
Congreso,8,243.0000,103.0000,157.0000,86.0000,11.0000,92.0000,1.0000,99.0000
AUBASA LP-BA,16,238.0000,371.0000,76.0000,162.0000,29.0000,342.0000,54.0000,274.0000
El Arco,4,null,null,null,null,null,null,null,null
Alberdi,16,null,67.0000,null,null,null,67.0000,null,59.0000
Luis Viale,23,20.0000,58.0000,3.0000,17.0000,3.0000,55.0000,4.0000,49.0000
Florencio Varela,23,42.0000,49.0000,8.0000,34.0000,3.0000,46.0000,9.0000,49.0000
El Club,15,121.0000,501.0000,36.0000,85.0000,35.0000,466.0000,27.0000,401.0000
Alvear,9,368.0000,836.0000,125.0000,243.0000,180.0000,656.0000,78.0000,718.0000
Boulevard,1,null,null,null,null,null,null,null,null
Buen Ayre,16,161.0000,240.0000,46.0000,115.0000,24.0000,216.0000,43.0000,175.0000
La Bandera,17,75.0000,436.0000,51.0000,24.0000,4.0000,432.0000,17.0000,331.0000
Bonpland,17,165.0000,238.0000,97.0000,68.0000,31.0000,207.0000,16.0000,191.0000
Emilio Castro,14,33.0000,35.0000,10.0000,23.0000,3.0000,32.0000,4.0000,28.0000
La Carmela,10,114.0000,65.0000,66.0000,48.0000,22.0000,43.0000,21.0000,65.0000
Pilar,6,119.0000,32.0000,58.0000,61.0000,8.0000,24.0000,16.0000,32.0000
Emilio Castro,7,174.0000,15.0000,99.0000,75.0000,5.0000,10.0000,20.0000,11.0000
Disc Panamericana,13,2.0000,10.0000,null,2.0000,null,10.0000,null,10.0000
Centenera,16,45.0000,100.0000,15.0000,30.0000,15.0000,85.0000,24.0000,89.0000
Anchorena,9,null,28.0000,null,null,9.0000,19.0000,null,28.0000
Buen Ayre,10,195.0000,269.0000,86.0000,109.0000,39.0000,230.0000,32.0000,216.0000
Las Heras,9,155.0000,84.0000,84.0000,71.0000,18.0000,66.0000,12.0000,69.0000
Villa Luro,6,185.0000,136.0000,45.0000,140.0000,63.0000,73.0000,33.0000,102.0000
Bulnes,7,33.0000,54.0000,13.0000,20.0000,1.0000,53.0000,13.0000,43.0000
Zarate Brazo Largo,22,35.0000,44.0000,28.0000,7.0000,2.0000,42.0000,null,44.0000
AUBASA LP-BA,1,108.0000,61.0000,30.0000,78.0000,14.0000,47.0000,32.0000,46.0000
Alberdi,0,null,18.0000,null,null,null,18.0000,null,14.0000
Gral Paz Provincia,21,53.0000,87.0000,14.0000,39.0000,3.0000,84.0000,12.0000,57.0000
Los Incas,11,98.0000,10.0000,86.0000,12.0000,null,10.0000,4.0000,10.0000
Luis Viale,0,33.0000,83.0000,8.0000,25.0000,4.0000,79.0000,3.0000,73.0000
San Isidro,21,29.0000,68.0000,8.0000,21.0000,2.0000,66.0000,7.0000,64.0000
Congreso,11,100.0000,191.0000,72.0000,28.0000,13.0000,178.0000,null,188.0000
Trelles,19,36.0000,67.0000,21.0000,15.0000,5.0000,62.0000,8.0000,12.0000
DISC Caraffa,12,3.0000,75.0000,null,3.0000,3.0000,72.0000,null,47.0000
Alsina,22,42.0000,199.0000,3.0000,39.0000,1.0000,198.0000,30.0000,197.0000
Villa Allende,14,22.0000,155.0000,11.0000,11.0000,null,155.0000,5.0000,77.0000
Quilmes,11,80.0000,239.0000,41.0000,39.0000,22.0000,217.0000,14.0000,122.0000
Congreso,16,52.0000,119.0000,34.0000,18.0000,10.0000,109.0000,null,118.0000
Del Tejar,22,36.0000,43.0000,6.0000,30.0000,null,43.0000,6.0000,43.0000
La Carmela,8,235.0000,73.0000,124.0000,111.0000,9.0000,64.0000,34.0000,73.0000
Cabildo,12,54.0000,64.0000,29.0000,25.0000,8.0000,56.0000,2.0000,23.0000
Del Tejar,19,39.0000,127.0000,21.0000,18.0000,17.0000,110.0000,3.0000,125.0000
Alsina,0,46.0000,122.0000,4.0000,42.0000,4.0000,118.0000,33.0000,121.0000
Villa Luro,10,182.0000,275.0000,50.0000,132.0000,30.0000,245.0000,38.0000,151.0000
San Isidro,16,89.0000,215.0000,27.0000,62.0000,12.0000,203.0000,14.0000,175.0000
Boulevard,13,58.0000,295.0000,24.0000,34.0000,22.0000,273.0000,23.0000,241.0000
Alvear,22,61.0000,285.0000,13.0000,48.0000,25.0000,260.0000,19.0000,214.0000
Las Heras,4,23.0000,31.0000,8.0000,15.0000,4.0000,27.0000,10.0000,26.0000
Ovidio Lagos,9,189.0000,251.0000,58.0000,131.0000,12.0000,239.0000,null,251.0000
Quilmes,21,21.0000,29.0000,7.0000,14.0000,4.0000,25.0000,5.0000,18.0000
Emilio Castro,12,36.0000,63.0000,7.0000,29.0000,6.0000,57.0000,9.0000,47.0000
Quilmes,18,88.0000,131.0000,46.0000,42.0000,26.0000,105.0000,9.0000,93.0000
Fisherton,15,64.0000,608.0000,7.0000,57.0000,null,608.0000,24.0000,543.0000
America,11,117.0000,162.0000,65.0000,52.0000,null,162.0000,18.0000,162.0000
Dialogos,9,208.0000,99.0000,121.0000,87.0000,18.0000,81.0000,20.0000,91.0000
Floresta,6,94.0000,60.0000,35.0000,59.0000,7.0000,53.0000,10.0000,60.0000
La Bandera,12,58.0000,327.0000,41.0000,17.0000,12.0000,315.0000,8.0000,206.0000
Parque Sarmiento,6,57.0000,22.0000,41.0000,16.0000,2.0000,20.0000,12.0000,18.0000
Rosario Sur,2,null,null,null,null,null,null,null,null
Rivadavia,16,null,null,null,null,null,null,null,null
Los Incas,5,40.0000,1.0000,26.0000,14.0000,null,1.0000,6.0000,1.0000
Buen Ayre,19,70.0000,134.0000,23.0000,47.0000,13.0000,121.0000,13.0000,103.0000
Olivos,17,95.0000,151.0000,70.0000,25.0000,9.0000,142.0000,9.0000,130.0000
La Bandera,16,83.0000,370.0000,61.0000,22.0000,6.0000,364.0000,14.0000,244.0000
Gral Paz Capital,12,147.0000,345.0000,88.0000,59.0000,null,345.0000,46.0000,345.0000
Floresta,20,36.0000,48.0000,10.0000,26.0000,5.0000,43.0000,3.0000,48.0000
Maipu,15,59.0000,263.0000,37.0000,22.0000,13.0000,250.0000,null,234.0000
Laferrere,21,17.0000,63.0000,9.0000,8.0000,13.0000,50.0000,3.0000,26.0000
Floresta,18,38.0000,78.0000,8.0000,30.0000,7.0000,71.0000,2.0000,78.0000
La Carmela,18,71.0000,48.0000,23.0000,48.0000,7.0000,41.0000,16.0000,48.0000
Cabildo,4,26.0000,11.0000,12.0000,14.0000,4.0000,7.0000,4.0000,5.0000
Bulnes,12,66.0000,117.0000,26.0000,40.0000,null,117.0000,5.0000,85.0000
Luis Viale,13,30.0000,127.0000,1.0000,29.0000,5.0000,122.0000,5.0000,96.0000
Gral Paz Capital,20,90.0000,245.0000,52.0000,38.0000,null,245.0000,25.0000,245.0000
Centenera,15,33.0000,79.0000,15.0000,18.0000,6.0000,73.0000,16.0000,77.0000
Emilio Castro,19,47.0000,25.0000,16.0000,31.0000,2.0000,23.0000,10.0000,20.0000
Fisherton,8,314.0000,564.0000,94.0000,220.0000,null,564.0000,51.0000,454.0000
Luis Viale,2,32.0000,38.0000,15.0000,17.0000,2.0000,36.0000,6.0000,29.0000
Pilar,4,30.0000,15.0000,10.0000,20.0000,8.0000,7.0000,5.0000,14.0000
Maipu,5,52.0000,57.0000,40.0000,12.0000,3.0000,54.0000,null,57.0000
Luis Viale,5,40.0000,31.0000,13.0000,27.0000,4.0000,27.0000,4.0000,25.0000
Garay,12,48.0000,204.0000,17.0000,31.0000,8.0000,196.0000,4.0000,118.0000
Trelles,18,56.0000,64.0000,30.0000,26.0000,12.0000,52.0000,20.0000,25.0000
El Arco,21,30.0000,81.0000,22.0000,8.0000,1.0000,80.0000,6.0000,45.0000
DISC Caraffa,14,1.0000,41.0000,null,1.0000,1.0000,40.0000,null,32.0000
Amanecer,6,96.0000,132.0000,33.0000,63.0000,null,132.0000,23.0000,132.0000
Mitre,16,null,null,null,null,null,null,null,null
Lima,1,342.0000,158.0000,80.0000,262.0000,6.0000,152.0000,137.0000,113.0000
Gutierrez,11,50.0000,87.0000,15.0000,35.0000,7.0000,80.0000,6.0000,69.0000
America,5,59.0000,18.0000,30.0000,29.0000,null,18.0000,8.0000,18.0000
Bonpland,6,161.0000,92.0000,69.0000,92.0000,22.0000,70.0000,38.0000,69.0000
Disc Panamericana,6,7.0000,null,3.0000,4.0000,null,null,null,null
Quilmes,3,45.0000,30.0000,17.0000,28.0000,7.0000,23.0000,10.0000,24.0000
Garay,0,39.0000,56.0000,17.0000,22.0000,3.0000,53.0000,7.0000,47.0000
Mitre,2,null,null,null,null,null,null,null,null
Garay,7,176.0000,113.0000,101.0000,75.0000,14.0000,99.0000,9.0000,66.0000
Alberdi,20,null,24.0000,null,null,null,24.0000,null,20.0000
Mitre,5,null,null,null,null,null,null,null,null
Villa Luro,2,25.0000,36.0000,4.0000,21.0000,4.0000,32.0000,6.0000,27.0000
Garay,1,48.0000,65.0000,18.0000,30.0000,4.0000,61.0000,2.0000,55.0000
Zarate,16,60.0000,21.0000,30.0000,30.0000,4.0000,17.0000,6.0000,21.0000
Libertador,10,176.0000,230.0000,43.0000,133.0000,35.0000,195.0000,34.0000,163.0000
Alvear,12,138.0000,403.0000,58.0000,80.0000,39.0000,364.0000,33.0000,320.0000
Zarate Brazo Largo,13,34.0000,75.0000,27.0000,7.0000,null,75.0000,null,75.0000
Laferrere,6,81.0000,31.0000,50.0000,31.0000,10.0000,21.0000,5.0000,21.0000
AUBASA BA-LP,1,74.0000,69.0000,18.0000,56.0000,10.0000,59.0000,21.0000,50.0000
San Isidro,18,102.0000,171.0000,18.0000,84.0000,10.0000,161.0000,19.0000,139.0000
DISC Caraffa,2,null,null,null,null,null,null,null,null
