estacion,hora,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Anchorena,14,null,null,null,null,null,null
Zarate Brazo Largo,1,129.0000,98.0000,97.0000,32.0000,2.0000,96.0000
Bonpland,2,250.0000,386.0000,154.0000,96.0000,139.0000,247.0000
AUBASA LP-BA,11,1966.0000,3169.0000,871.0000,1095.0000,1228.0000,1941.0000
Lima,12,1848.0000,2650.0000,670.0000,1178.0000,641.0000,2009.0000
Gral Paz Provincia,19,1223.0000,2340.0000,677.0000,546.0000,1145.0000,1195.0000
Cabildo,14,67.0000,173.0000,23.0000,44.0000,43.0000,130.0000
Bulnes,11,243.0000,1045.0000,146.0000,97.0000,319.0000,726.0000
Las Heras,6,1052.0000,911.0000,840.0000,212.0000,412.0000,499.0000
Amanecer,22,86.0000,176.0000,27.0000,59.0000,null,176.0000
Rosario Sur,21,null,null,null,null,null,null
Zarate Brazo Largo,0,116.0000,95.0000,98.0000,18.0000,null,95.0000
Trelles,2,107.0000,110.0000,62.0000,45.0000,20.0000,90.0000
Florencio Varela,5,226.0000,305.0000,36.0000,190.0000,82.0000,223.0000
Los Incas,4,62.0000,1.0000,48.0000,14.0000,null,1.0000
AUBASA BA-LP,23,474.0000,589.0000,141.0000,333.0000,139.0000,450.0000
Congreso,2,161.0000,128.0000,56.0000,105.0000,39.0000,89.0000
Las Heras,18,411.0000,474.0000,246.0000,165.0000,139.0000,335.0000
Pilar,0,170.0000,190.0000,54.0000,116.0000,68.0000,122.0000
Buen Ayre,9,3049.0000,4688.0000,2076.0000,973.0000,2704.0000,1984.0000
Florencio Varela,7,1440.0000,2155.0000,750.0000,690.0000,1439.0000,716.0000
Zarate,4,1.0000,1.0000,1.0000,null,1.0000,null
America,23,98.0000,155.0000,31.0000,67.0000,null,155.0000
Florencio Varela,21,71.0000,130.0000,55.0000,16.0000,61.0000,69.0000
Del Tejar,4,173.0000,88.0000,113.0000,60.0000,35.0000,53.0000
Gral Paz Provincia,10,2735.0000,4346.0000,1548.0000,1187.0000,2007.0000,2339.0000
La Bandera,21,15.0000,123.0000,9.0000,6.0000,12.0000,111.0000
Fisherton,5,25.0000,103.0000,null,25.0000,null,103.0000
Santa Fe,0,null,null,null,null,null,null
Centenera,18,166.0000,279.0000,84.0000,82.0000,138.0000,141.0000
Emilio Castro,0,121.0000,48.0000,54.0000,67.0000,10.0000,38.0000
Pilar,7,1873.0000,1474.0000,1238.0000,635.0000,692.0000,782.0000
Libertador,16,520.0000,1421.0000,229.0000,291.0000,515.0000,906.0000
Dialogos,1,63.0000,42.0000,39.0000,24.0000,6.0000,36.0000
Lima,4,1354.0000,835.0000,605.0000,749.0000,308.0000,527.0000
Olivos,10,717.0000,1340.0000,673.0000,44.0000,561.0000,779.0000
Parque Sarmiento,18,611.0000,987.0000,168.0000,443.0000,211.0000,776.0000
La Carmela,6,1435.0000,1440.0000,858.0000,577.0000,677.0000,763.0000
Centenera,22,25.0000,31.0000,11.0000,14.0000,15.0000,16.0000
El Arco,23,null,null,null,null,null,null
Arroyo Seco,1,1281.0000,712.0000,578.0000,703.0000,288.0000,424.0000
Florencio Varela,4,56.0000,102.0000,4.0000,52.0000,28.0000,74.0000
Villa Allende,9,1844.0000,3574.0000,1404.0000,440.0000,1496.0000,2078.0000
Congreso,18,577.0000,937.0000,224.0000,353.0000,165.0000,772.0000
Gral Paz Capital,2,605.0000,385.0000,490.0000,115.0000,null,385.0000
Villa Allende,15,181.0000,728.0000,85.0000,96.0000,127.0000,601.0000
Floresta,8,769.0000,945.0000,324.0000,445.0000,447.0000,498.0000
Anchorena,15,null,null,null,null,null,null
Mitre,14,null,null,null,null,null,null
Disc Panamericana,5,20.0000,null,3.0000,17.0000,null,null
DISC Caraffa,0,3.0000,1.0000,null,3.0000,null,1.0000
Mitre,4,null,null,null,null,null,null
Santa Fe,19,114.0000,58.0000,52.0000,62.0000,23.0000,35.0000
Del Tejar,15,303.0000,925.0000,209.0000,94.0000,309.0000,616.0000
Lima,16,4007.0000,4356.0000,1397.0000,2610.0000,941.0000,3415.0000
Villa Allende,17,428.0000,1596.0000,245.0000,183.0000,436.0000,1160.0000
Trelles,3,197.0000,127.0000,97.0000,100.0000,28.0000,99.0000
Los Incas,3,70.0000,4.0000,51.0000,19.0000,null,4.0000
Maipu,16,215.0000,729.0000,92.0000,123.0000,137.0000,592.0000
San Isidro,9,1679.0000,2311.0000,885.0000,794.0000,1027.0000,1284.0000
Alvear,7,1990.0000,4046.0000,1262.0000,728.0000,2285.0000,1761.0000
DISC Caraffa,8,171.0000,504.0000,13.0000,158.0000,202.0000,302.0000
Mitre,17,null,null,null,null,null,null
Pilar,2,141.0000,138.0000,49.0000,92.0000,73.0000,65.0000
Buen Ayre,15,760.0000,1667.0000,353.0000,407.0000,471.0000,1196.0000
La Carmela,9,1160.0000,1044.0000,668.0000,492.0000,462.0000,582.0000
Trelles,15,160.0000,439.0000,71.0000,89.0000,180.0000,259.0000
Arroyo Seco,12,2461.0000,3321.0000,1075.0000,1386.0000,924.0000,2397.0000
Disc Panamericana,22,2.0000,null,1.0000,1.0000,null,null
Quilmes,7,1279.0000,1994.0000,711.0000,568.0000,968.0000,1026.0000
AUBASA BA-LP,0,598.0000,614.0000,195.0000,403.0000,152.0000,462.0000
Garay,2,128.0000,144.0000,51.0000,77.0000,36.0000,108.0000
Zarate,1,117.0000,38.0000,76.0000,41.0000,4.0000,34.0000
Trelles,14,135.0000,364.0000,59.0000,76.0000,143.0000,221.0000
Fisherton,17,451.0000,3372.0000,66.0000,385.0000,null,3372.0000
El Club,17,926.0000,4038.0000,551.0000,375.0000,1885.0000,2153.0000
Maschwitz,6,null,264.0000,null,null,null,264.0000
Laferrere,0,112.0000,244.0000,35.0000,77.0000,66.0000,178.0000
Maipu,8,571.0000,1073.0000,335.0000,236.0000,443.0000,630.0000
AUBASA BA-LP,15,1499.0000,2404.0000,488.0000,1011.0000,840.0000,1564.0000
Maschwitz,23,null,4.0000,null,null,null,4.0000
Disc Panamericana,0,9.0000,null,2.0000,7.0000,null,null
Santa Rita,20,115.0000,355.0000,19.0000,96.0000,28.0000,327.0000
DISC Echeverria,7,null,90.0000,null,null,null,90.0000
Zarate Brazo Largo,17,374.0000,307.0000,276.0000,98.0000,36.0000,271.0000
Santa Rita,1,109.0000,138.0000,9.0000,100.0000,7.0000,131.0000
San Isidro,4,424.0000,215.0000,275.0000,149.0000,112.0000,103.0000
Arroyo Seco,6,4624.0000,4287.0000,2530.0000,2094.0000,2281.0000,2006.0000
Maschwitz,9,null,334.0000,null,null,null,334.0000
Pilar,13,228.0000,342.0000,148.0000,80.0000,118.0000,224.0000
Parque Sarmiento,21,217.0000,210.0000,81.0000,136.0000,26.0000,184.0000
Parque Sarmiento,7,1377.0000,1365.0000,906.0000,471.0000,390.0000,975.0000
Fisherton,19,366.0000,2322.0000,46.0000,320.0000,null,2322.0000
America,12,214.0000,599.0000,99.0000,115.0000,null,599.0000
Rosario Sur,23,null,null,null,null,null,null
Alberdi,23,null,28.0000,null,null,null,28.0000
Congreso,13,304.0000,520.0000,161.0000,143.0000,96.0000,424.0000
Bulnes,22,null,5.0000,null,null,2.0000,3.0000
Santa Fe,23,null,null,null,null,null,null
Boulevard,8,1316.0000,2301.0000,772.0000,544.0000,980.0000,1321.0000
Los Incas,12,289.0000,7.0000,240.0000,49.0000,null,7.0000
Lima,9,5532.0000,9009.0000,2869.0000,2663.0000,4238.0000,4771.0000
Congreso,20,172.0000,194.0000,75.0000,97.0000,19.0000,175.0000
Disc Panamericana,15,32.0000,34.0000,2.0000,30.0000,1.0000,33.0000
Zarate Brazo Largo,18,424.0000,349.0000,310.0000,114.0000,32.0000,317.0000
Quilmes,13,160.0000,435.0000,79.0000,81.0000,171.0000,264.0000
La Bandera,11,357.0000,2092.0000,275.0000,82.0000,423.0000,1669.0000
Santa Rita,6,492.0000,976.0000,68.0000,424.0000,195.0000,781.0000
Amanecer,5,453.0000,315.0000,265.0000,188.0000,null,315.0000
Centenera,1,35.0000,36.0000,20.0000,15.0000,14.0000,22.0000
Congreso,3,170.0000,117.0000,72.0000,98.0000,29.0000,88.0000
Libertador,6,773.0000,1103.0000,419.0000,354.0000,670.0000,433.0000
DISC Caraffa,11,79.0000,508.0000,4.0000,75.0000,144.0000,364.0000
Floresta,1,147.0000,137.0000,32.0000,115.0000,25.0000,112.0000
El Club,4,175.0000,217.0000,92.0000,83.0000,91.0000,126.0000
Trelles,9,768.0000,944.0000,421.0000,347.0000,385.0000,559.0000
Lima,15,2733.0000,3129.0000,763.0000,1970.0000,603.0000,2526.0000
Gral Paz Provincia,12,878.0000,1645.0000,402.0000,476.0000,600.0000,1045.0000
Ovidio Lagos,20,94.0000,371.0000,31.0000,63.0000,42.0000,329.0000
Arroyo Seco,15,3685.0000,4137.0000,1404.0000,2281.0000,877.0000,3260.0000
Garay,6,768.0000,738.0000,473.0000,295.0000,347.0000,391.0000
Los Incas,19,200.0000,10.0000,151.0000,49.0000,null,10.0000
Floresta,4,132.0000,148.0000,24.0000,108.0000,53.0000,95.0000
Gutierrez,10,471.0000,853.0000,211.0000,260.0000,385.0000,468.0000
Bonpland,8,2189.0000,3369.0000,1342.0000,847.0000,1851.0000,1518.0000
Maipu,22,92.0000,153.0000,64.0000,28.0000,24.0000,129.0000
DISC Caraffa,16,35.0000,257.0000,5.0000,30.0000,46.0000,211.0000
Dialogos,10,962.0000,1708.0000,637.0000,325.0000,991.0000,717.0000
Congreso,12,365.0000,691.0000,186.0000,179.0000,107.0000,584.0000
Zarate Brazo Largo,2,104.0000,101.0000,77.0000,27.0000,4.0000,97.0000
Trelles,20,94.0000,156.0000,50.0000,44.0000,59.0000,97.0000
Rivadavia,13,null,null,null,null,null,null
DISC Caraffa,4,1.0000,null,null,1.0000,null,null
Garay,9,952.0000,1959.0000,512.0000,440.0000,776.0000,1183.0000
San Isidro,10,1186.0000,2210.0000,611.0000,575.0000,894.0000,1316.0000
AUBASA LP-BA,9,3699.0000,4550.0000,2056.0000,1643.0000,2330.0000,2220.0000
Fisherton,22,24.0000,93.0000,null,24.0000,null,93.0000
Quilmes,19,236.0000,503.0000,122.0000,114.0000,233.0000,270.0000
Quilmes,10,848.0000,1676.0000,411.0000,437.0000,797.0000,879.0000
AUBASA LP-BA,3,579.0000,279.0000,216.0000,363.0000,66.0000,213.0000
Anchorena,2,null,null,null,null,null,null
Luis Viale,3,142.0000,223.0000,34.0000,108.0000,33.0000,190.0000
America,4,143.0000,110.0000,44.0000,99.0000,null,110.0000
Congreso,15,380.0000,751.0000,129.0000,251.0000,102.0000,649.0000
Dialogos,15,291.0000,543.0000,165.0000,126.0000,232.0000,311.0000
San Isidro,7,1931.0000,1853.0000,1127.0000,804.0000,864.0000,989.0000
AUBASA LP-BA,22,431.0000,446.0000,171.0000,260.0000,105.0000,341.0000
Los Incas,2,64.0000,4.0000,47.0000,17.0000,null,4.0000
Los Incas,6,575.0000,8.0000,475.0000,100.0000,null,8.0000
Quilmes,15,206.0000,612.0000,96.0000,110.0000,194.0000,418.0000
Maschwitz,16,null,116.0000,null,null,null,116.0000
Cabildo,9,398.0000,280.0000,286.0000,112.0000,122.0000,158.0000
Florencio Varela,15,168.0000,566.0000,135.0000,33.0000,313.0000,253.0000
Zarate Brazo Largo,21,156.0000,107.0000,130.0000,26.0000,8.0000,99.0000
Alvear,23,217.0000,776.0000,75.0000,142.0000,197.0000,579.0000
Buen Ayre,20,345.0000,758.0000,207.0000,138.0000,276.0000,482.0000
San Isidro,23,117.0000,158.0000,35.0000,82.0000,23.0000,135.0000
Anchorena,5,null,null,null,null,null,null
Floresta,5,325.0000,1070.0000,94.0000,231.0000,401.0000,669.0000
La Carmela,23,117.0000,102.0000,46.0000,71.0000,35.0000,67.0000
Villa Luro,16,586.0000,1809.0000,287.0000,299.0000,619.0000,1190.0000
Alvear,20,296.0000,1114.0000,110.0000,186.0000,444.0000,670.0000
Arroyo Seco,4,975.0000,505.0000,541.0000,434.0000,217.0000,288.0000
Maschwitz,3,null,75.0000,null,null,null,75.0000
San Isidro,2,160.0000,183.0000,63.0000,97.0000,56.0000,127.0000
Del Tejar,12,481.0000,821.0000,415.0000,66.0000,345.0000,476.0000
Florencio Varela,22,68.0000,121.0000,23.0000,45.0000,13.0000,108.0000
Maschwitz,10,null,276.0000,null,null,null,276.0000
Villa Luro,3,218.0000,255.0000,81.0000,137.0000,111.0000,144.0000
Arroyo Seco,23,1023.0000,628.0000,432.0000,591.0000,280.0000,348.0000
Dialogos,23,118.0000,106.0000,60.0000,58.0000,29.0000,77.0000
Quilmes,0,131.0000,191.0000,49.0000,82.0000,32.0000,159.0000
Quilmes,1,161.0000,158.0000,59.0000,102.0000,49.0000,109.0000
Santa Fe,18,130.0000,85.0000,47.0000,83.0000,26.0000,59.0000
Del Tejar,14,262.0000,616.0000,186.0000,76.0000,200.0000,416.0000
Villa Luro,4,369.0000,470.0000,185.0000,184.0000,219.0000,251.0000
DISC Echeverria,12,null,30.0000,null,null,null,30.0000
Buen Ayre,3,216.0000,216.0000,89.0000,127.0000,99.0000,117.0000
Quilmes,12,242.0000,723.0000,97.0000,145.0000,294.0000,429.0000
Alvear,2,260.0000,741.0000,114.0000,146.0000,260.0000,481.0000
Amanecer,17,307.0000,769.0000,139.0000,168.0000,null,769.0000
Anchorena,21,null,null,null,null,null,null
San Isidro,8,2053.0000,2161.0000,1193.0000,860.0000,1107.0000,1054.0000
Gutierrez,5,313.0000,335.0000,170.0000,143.0000,191.0000,144.0000
Alsina,17,826.0000,1446.0000,227.0000,599.0000,298.0000,1148.0000
Bulnes,14,63.0000,256.0000,43.0000,20.0000,58.0000,198.0000
Parque Sarmiento,4,287.0000,45.0000,274.0000,13.0000,7.0000,38.0000
Anchorena,18,null,null,null,null,null,null
Boulevard,3,null,null,null,null,null,null
Disc Panamericana,4,6.0000,null,3.0000,3.0000,null,null
Alberdi,4,null,25.0000,null,null,null,25.0000
