estacion,hora,q_cafes_llevar_algo_leche_sinbakery,q_cafes_llevar_algo_otros_sinbakery,q_cafes_local_algo_leche_sinbakery,q_cafes_local_algo_otros_sinbakery
Quilmes,1,40.0000,103.0000,32.0000,117.0000
Villa Luro,3,21.0000,84.0000,22.0000,71.0000
Dialogos,23,64.0000,68.0000,11.0000,78.0000
DISC Echeverria,12,null,null,null,52.0000
Villa Luro,4,43.0000,64.0000,27.0000,44.0000
Santa Fe,18,27.0000,84.0000,8.0000,35.0000
Del Tejar,14,67.0000,51.0000,84.0000,362.0000
Buen Ayre,3,27.0000,28.0000,19.0000,36.0000
Quilmes,12,41.0000,111.0000,126.0000,351.0000
Amanecer,17,78.0000,137.0000,null,373.0000
Anchorena,21,null,null,5.0000,7.0000
Alvear,2,62.0000,167.0000,110.0000,408.0000
Anchorena,18,null,null,9.0000,14.0000
Bulnes,14,41.0000,31.0000,26.0000,187.0000
Alsina,17,115.0000,110.0000,100.0000,646.0000
San Isidro,8,447.0000,431.0000,310.0000,436.0000
Gutierrez,5,124.0000,131.0000,59.0000,51.0000
Parque Sarmiento,4,164.0000,7.0000,5.0000,25.0000
CORS EVENTOS,18,2.0000,6.0000,null,null
