estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sinsandwiches_caramelos,q_cafes_llevar_algo_otros_sinbakery_sinsandwiches_caramelos,q_cafes_local_algo_leche_sinbakery_sinsandwiches_caramelos,q_cafes_local_algo_otros_sinbakery_sinsandwiches_caramelos
Ovidio Lagos,7,5.0000,21.0000,2.0000,10.0000
DISC Echeverria,5,null,null,null,26.0000
Florencio Varela,10,9.0000,21.0000,12.0000,31.0000
Pilar,18,18.0000,29.0000,1.0000,52.0000
America,22,7.0000,16.0000,null,40.0000
El Club,21,6.0000,25.0000,5.0000,107.0000
Santa Rita,9,7.0000,101.0000,4.0000,110.0000
Arroyo Seco,16,422.0000,737.0000,61.0000,702.0000
Emilio Castro,10,14.0000,22.0000,null,12.0000
Luis Viale,16,11.0000,35.0000,9.0000,103.0000
Centenera,9,14.0000,11.0000,1.0000,18.0000
El Club,2,8.0000,54.0000,7.0000,53.0000
Trelles,12,5.0000,6.0000,6.0000,31.0000
DISC Echeverria,3,null,null,null,4.0000
Cabildo,17,5.0000,9.0000,5.0000,14.0000
Floresta,3,3.0000,15.0000,null,7.0000
Pilar,8,38.0000,43.0000,5.0000,34.0000
El Club,9,26.0000,48.0000,22.0000,72.0000
Gral Paz Capital,11,50.0000,49.0000,null,108.0000
Arroyo Seco,0,105.0000,156.0000,12.0000,91.0000
Trelles,16,19.0000,16.0000,4.0000,39.0000
Maschwitz,21,null,null,null,6.0000
Gral Paz Provincia,8,57.0000,64.0000,10.0000,38.0000
Garay,5,3.0000,11.0000,3.0000,12.0000
Zarate,19,17.0000,12.0000,1.0000,18.0000
Congreso,17,47.0000,30.0000,2.0000,155.0000
Laferrere,15,6.0000,7.0000,2.0000,28.0000
Las Heras,10,22.0000,18.0000,1.0000,14.0000
Garay,11,8.0000,20.0000,2.0000,53.0000
Cabildo,5,1.0000,7.0000,null,2.0000
El Club,11,16.0000,44.0000,20.0000,107.0000
Buen Ayre,23,21.0000,37.0000,10.0000,82.0000
Los Incas,15,13.0000,12.0000,null,null
Emilio Castro,21,3.0000,15.0000,1.0000,4.0000
Centenera,8,15.0000,16.0000,3.0000,9.0000
San Isidro,1,8.0000,29.0000,8.0000,51.0000
San Isidro,0,14.0000,41.0000,14.0000,78.0000
Libertador,2,4.0000,36.0000,12.0000,35.0000
El Club,10,26.0000,51.0000,33.0000,134.0000
Florencio Varela,1,3.0000,17.0000,null,16.0000
Ovidio Lagos,11,5.0000,24.0000,1.0000,101.0000
Del Tejar,9,22.0000,24.0000,12.0000,36.0000
Las Heras,16,20.0000,38.0000,6.0000,30.0000
Alberdi,11,null,null,null,18.0000
Buen Ayre,8,75.0000,77.0000,25.0000,68.0000
Bulnes,17,14.0000,15.0000,null,45.0000
Parque Sarmiento,11,80.0000,34.0000,12.0000,131.0000
Lima,21,48.0000,122.0000,9.0000,106.0000
Bulnes,15,14.0000,14.0000,null,46.0000
Centenera,23,4.0000,4.0000,null,2.0000
Rosario Sur,0,null,null,null,null
Villa Allende,19,16.0000,15.0000,6.0000,110.0000
DISC Echeverria,15,null,null,null,1.0000
Del Tejar,10,22.0000,15.0000,11.0000,60.0000
Zarate,12,13.0000,26.0000,3.0000,10.0000
Alberdi,18,null,null,null,27.0000
Rosario Sur,7,null,null,null,null
Dialogos,7,47.0000,61.0000,11.0000,26.0000
Gutierrez,20,3.0000,25.0000,4.0000,31.0000
Lima,22,60.0000,161.0000,6.0000,105.0000
Zarate Brazo Largo,15,45.0000,21.0000,4.0000,41.0000
Gutierrez,7,9.0000,33.0000,1.0000,19.0000
America,0,8.0000,28.0000,null,60.0000
AUBASA LP-BA,8,91.0000,155.0000,13.0000,50.0000
Alberdi,6,null,null,null,10.0000
Santa Rita,14,5.0000,70.0000,1.0000,230.0000
Fisherton,3,null,3.0000,null,11.0000
Zarate Brazo Largo,4,14.0000,4.0000,null,5.0000
Disc Panamericana,1,null,4.0000,null,null
DISC Caraffa,1,null,null,null,null
Anchorena,13,null,null,null,null
Rivadavia,12,null,null,null,null
Rosario Sur,3,null,null,null,null
Rivadavia,9,null,null,null,null
CORS EVENTOS,21,null,null,null,null
Anchorena,1,null,null,null,null
Villa Allende,4,null,1.0000,null,null
Fisherton,4,null,1.0000,null,6.0000
Villa Allende,3,null,null,null,2.0000
El Arco,5,null,null,null,null
Rivadavia,20,null,null,null,null
DISC Caraffa,5,null,null,null,null
Rivadavia,14,null,null,null,null
Rivadavia,7,null,null,null,null
Alsina,13,3.0000,11.0000,2.0000,35.0000
Lima,18,215.0000,498.0000,44.0000,358.0000
Floresta,23,3.0000,26.0000,1.0000,18.0000
Gutierrez,13,4.0000,21.0000,3.0000,31.0000
Villa Luro,18,39.0000,55.0000,21.0000,129.0000
Gutierrez,4,3.0000,14.0000,4.0000,8.0000
Alvear,6,36.0000,43.0000,29.0000,57.0000
Zarate Brazo Largo,12,15.0000,4.0000,null,19.0000
Cabildo,22,3.0000,6.0000,null,4.0000
Los Incas,21,7.0000,3.0000,null,null
El Arco,7,21.0000,22.0000,4.0000,21.0000
Quilmes,5,5.0000,6.0000,7.0000,4.0000
DISC Caraffa,22,null,null,2.0000,5.0000
DISC Echeverria,21,null,null,null,12.0000
Garay,14,3.0000,6.0000,1.0000,57.0000
Floresta,14,null,6.0000,4.0000,28.0000
La Bandera,7,30.0000,13.0000,1.0000,65.0000
Amanecer,9,26.0000,42.0000,null,53.0000
Villa Allende,10,33.0000,34.0000,7.0000,114.0000
Villa Allende,18,12.0000,25.0000,5.0000,134.0000
Villa Luro,17,29.0000,73.0000,17.0000,144.0000
Boulevard,18,52.0000,24.0000,14.0000,76.0000
Amanecer,4,8.0000,11.0000,null,12.0000
Bulnes,9,23.0000,5.0000,null,14.0000
Ovidio Lagos,5,null,7.0000,3.0000,8.0000
Garay,19,9.0000,15.0000,10.0000,47.0000
AUBASA LP-BA,11,44.0000,153.0000,14.0000,120.0000
Congreso,19,18.0000,26.0000,6.0000,94.0000
Bonpland,2,18.0000,16.0000,7.0000,42.0000
Zarate Brazo Largo,1,22.0000,13.0000,null,17.0000
Anchorena,14,null,null,null,null
Amanecer,22,10.0000,11.0000,null,55.0000
Gral Paz Provincia,19,31.0000,70.0000,16.0000,90.0000
Zarate Brazo Largo,0,29.0000,5.0000,null,12.0000
Bulnes,11,19.0000,16.0000,4.0000,48.0000
Lima,12,65.0000,195.0000,12.0000,184.0000
Cabildo,14,null,5.0000,2.0000,30.0000
Las Heras,6,10.0000,13.0000,5.0000,15.0000
Florencio Varela,5,2.0000,13.0000,null,5.0000
AUBASA BA-LP,23,24.0000,104.0000,15.0000,105.0000
Trelles,2,19.0000,11.0000,1.0000,24.0000
Los Incas,4,2.0000,2.0000,null,null
Las Heras,18,12.0000,15.0000,2.0000,31.0000
Congreso,2,9.0000,13.0000,null,16.0000
Pilar,0,7.0000,27.0000,3.0000,25.0000
Buen Ayre,9,70.0000,94.0000,20.0000,60.0000
Florencio Varela,7,16.0000,42.0000,18.0000,34.0000
Florencio Varela,21,10.0000,1.0000,null,17.0000
America,23,7.0000,14.0000,null,52.0000
Del Tejar,4,3.0000,3.0000,1.0000,11.0000
Gral Paz Provincia,10,26.0000,56.0000,8.0000,63.0000
La Bandera,21,7.0000,2.0000,null,14.0000
Fisherton,5,null,4.0000,null,null
Centenera,18,10.0000,11.0000,6.0000,5.0000
Libertador,16,36.0000,52.0000,8.0000,197.0000
Dialogos,1,12.0000,8.0000,3.0000,9.0000
Pilar,7,30.0000,22.0000,null,12.0000
Emilio Castro,0,16.0000,27.0000,null,7.0000
Lima,4,52.0000,110.0000,4.0000,52.0000
Centenera,22,null,1.0000,null,2.0000
La Carmela,6,36.0000,41.0000,6.0000,16.0000
Parque Sarmiento,18,32.0000,85.0000,8.0000,132.0000
Florencio Varela,4,null,1.0000,null,3.0000
Olivos,10,30.0000,6.0000,7.0000,27.0000
Arroyo Seco,1,102.0000,173.0000,10.0000,72.0000
Congreso,18,45.0000,29.0000,3.0000,131.0000
Villa Allende,9,40.0000,31.0000,4.0000,84.0000
Gral Paz Capital,2,40.0000,14.0000,null,53.0000
Villa Allende,15,25.0000,22.0000,5.0000,182.0000
Floresta,8,11.0000,25.0000,null,23.0000
Del Tejar,15,15.0000,13.0000,7.0000,116.0000
Trelles,3,35.0000,30.0000,1.0000,28.0000
Santa Fe,19,3.0000,21.0000,2.0000,4.0000
Lima,16,225.0000,667.0000,41.0000,600.0000
Villa Allende,17,33.0000,27.0000,5.0000,156.0000
Los Incas,3,6.0000,2.0000,null,null
DISC Caraffa,8,1.0000,5.0000,1.0000,5.0000
Alvear,7,40.0000,64.0000,29.0000,69.0000
Maipu,16,21.0000,27.0000,8.0000,63.0000
San Isidro,9,53.0000,64.0000,10.0000,77.0000
Pilar,2,6.0000,16.0000,4.0000,2.0000
Buen Ayre,15,48.0000,127.0000,16.0000,310.0000
La Carmela,9,38.0000,39.0000,3.0000,14.0000
AUBASA BA-LP,0,33.0000,125.0000,6.0000,135.0000
Arroyo Seco,12,144.0000,226.0000,17.0000,274.0000
Quilmes,7,18.0000,42.0000,15.0000,97.0000
Trelles,15,15.0000,18.0000,2.0000,54.0000
Zarate,1,18.0000,20.0000,null,14.0000
Disc Panamericana,22,1.0000,null,null,null
Garay,2,5.0000,8.0000,3.0000,14.0000
Fisherton,17,2.0000,28.0000,null,207.0000
El Club,17,29.0000,49.0000,36.0000,176.0000
Trelles,14,4.0000,6.0000,2.0000,37.0000
Zarate Brazo Largo,17,55.0000,13.0000,null,17.0000
DISC Echeverria,7,null,null,null,7.0000
AUBASA BA-LP,15,58.0000,281.0000,25.0000,262.0000
Maschwitz,6,null,null,null,38.0000
Disc Panamericana,0,null,1.0000,null,null
Laferrere,0,4.0000,20.0000,4.0000,34.0000
Maschwitz,23,null,null,null,1.0000
Santa Rita,20,null,34.0000,null,83.0000
Maipu,8,7.0000,10.0000,3.0000,12.0000
San Isidro,4,15.0000,19.0000,2.0000,10.0000
Santa Rita,1,3.0000,44.0000,2.0000,38.0000
Pilar,13,8.0000,13.0000,13.0000,38.0000
Maschwitz,9,null,null,null,49.0000
Fisherton,19,3.0000,35.0000,null,216.0000
Parque Sarmiento,7,106.0000,36.0000,8.0000,64.0000
Alberdi,23,null,null,null,13.0000
Parque Sarmiento,21,24.0000,40.0000,4.0000,70.0000
America,12,10.0000,5.0000,null,51.0000
Arroyo Seco,6,127.0000,143.0000,12.0000,66.0000
Congreso,13,28.0000,8.0000,1.0000,104.0000
Bulnes,22,null,null,null,null
La Bandera,11,18.0000,8.0000,7.0000,62.0000
Congreso,20,14.0000,10.0000,2.0000,47.0000
Zarate Brazo Largo,18,38.0000,22.0000,3.0000,20.0000
Disc Panamericana,15,1.0000,12.0000,null,1.0000
Los Incas,12,19.0000,6.0000,null,1.0000
Congreso,3,14.0000,9.0000,1.0000,22.0000
Quilmes,13,6.0000,10.0000,5.0000,46.0000
Lima,9,117.0000,264.0000,36.0000,218.0000
Boulevard,8,8.0000,31.0000,5.0000,31.0000
Centenera,1,1.0000,1.0000,null,6.0000
Amanecer,5,21.0000,18.0000,null,9.0000
Santa Rita,6,5.0000,82.0000,1.0000,44.0000
Floresta,1,1.0000,16.0000,1.0000,11.0000
Libertador,6,13.0000,42.0000,9.0000,18.0000
Trelles,9,9.0000,10.0000,1.0000,15.0000
El Club,4,12.0000,11.0000,1.0000,2.0000
DISC Caraffa,11,null,7.0000,null,13.0000
Ovidio Lagos,20,9.0000,16.0000,3.0000,77.0000
Los Incas,19,12.0000,8.0000,null,2.0000
Lima,15,115.0000,574.0000,26.0000,549.0000
Arroyo Seco,15,368.0000,666.0000,28.0000,721.0000
Gral Paz Provincia,12,11.0000,30.0000,1.0000,69.0000
Garay,6,12.0000,10.0000,3.0000,8.0000
Floresta,4,null,8.0000,3.0000,2.0000
Gutierrez,10,3.0000,20.0000,1.0000,18.0000
Trelles,20,18.0000,11.0000,null,17.0000
Dialogos,10,40.0000,26.0000,7.0000,22.0000
Maipu,22,22.0000,5.0000,2.0000,33.0000
Bonpland,8,42.0000,64.0000,9.0000,35.0000
DISC Caraffa,16,1.0000,8.0000,2.0000,39.0000
Congreso,12,24.0000,8.0000,2.0000,132.0000
Zarate Brazo Largo,2,10.0000,3.0000,null,13.0000
Garay,9,14.0000,19.0000,1.0000,30.0000
San Isidro,10,40.0000,58.0000,22.0000,110.0000
AUBASA LP-BA,9,69.0000,144.0000,13.0000,62.0000
Quilmes,19,15.0000,26.0000,7.0000,23.0000
America,4,4.0000,11.0000,null,13.0000
Quilmes,10,26.0000,43.0000,2.0000,37.0000
Fisherton,22,null,5.0000,null,49.0000
AUBASA LP-BA,3,17.0000,61.0000,1.0000,27.0000
Luis Viale,3,3.0000,11.0000,2.0000,15.0000
Los Incas,2,12.0000,4.0000,null,1.0000
San Isidro,7,50.0000,52.0000,19.0000,51.0000
Congreso,15,42.0000,23.0000,6.0000,151.0000
AUBASA LP-BA,22,16.0000,56.0000,8.0000,80.0000
Dialogos,15,27.0000,24.0000,10.0000,44.0000
Los Incas,6,13.0000,5.0000,null,null
Alberdi,4,null,null,null,5.0000
Quilmes,15,5.0000,23.0000,8.0000,77.0000
Maschwitz,16,null,null,null,26.0000
Florencio Varela,15,16.0000,4.0000,14.0000,20.0000
Alvear,23,22.0000,53.0000,20.0000,176.0000
Zarate Brazo Largo,21,28.0000,4.0000,null,15.0000
Cabildo,9,17.0000,11.0000,1.0000,8.0000
Buen Ayre,20,20.0000,27.0000,8.0000,75.0000
San Isidro,23,6.0000,27.0000,2.0000,40.0000
Floresta,5,3.0000,7.0000,1.0000,7.0000
La Carmela,23,11.0000,32.0000,4.0000,13.0000
Villa Luro,16,26.0000,50.0000,14.0000,197.0000
Alvear,20,10.0000,41.0000,11.0000,96.0000
San Isidro,2,10.0000,16.0000,1.0000,24.0000
Arroyo Seco,4,46.0000,85.0000,2.0000,10.0000
Maschwitz,3,null,null,null,20.0000
Maschwitz,10,null,null,null,57.0000
Dialogos,23,22.0000,24.0000,3.0000,38.0000
Quilmes,0,9.0000,16.0000,7.0000,48.0000
Florencio Varela,22,10.0000,14.0000,null,11.0000
Quilmes,1,7.0000,26.0000,4.0000,21.0000
Del Tejar,12,6.0000,7.0000,10.0000,69.0000
Villa Luro,3,6.0000,24.0000,3.0000,17.0000
Arroyo Seco,23,79.0000,135.0000,6.0000,43.0000
Del Tejar,14,8.0000,13.0000,10.0000,82.0000
DISC Echeverria,12,null,null,null,4.0000
Santa Fe,18,5.0000,16.0000,3.0000,5.0000
Villa Luro,4,7.0000,12.0000,2.0000,15.0000
Buen Ayre,3,7.0000,7.0000,2.0000,5.0000
Amanecer,17,19.0000,18.0000,null,53.0000
Quilmes,12,3.0000,19.0000,5.0000,51.0000
Alvear,2,13.0000,40.0000,20.0000,111.0000
San Isidro,8,51.0000,60.0000,18.0000,60.0000
Alsina,17,8.0000,9.0000,4.0000,23.0000
Bulnes,14,5.0000,5.0000,null,26.0000
Parque Sarmiento,4,93.0000,1.0000,null,17.0000
Gutierrez,5,11.0000,19.0000,4.0000,14.0000
Ovidio Lagos,3,null,9.0000,4.0000,23.0000
El Arco,23,null,null,null,null
DISC Caraffa,4,null,1.0000,null,null
Rosario Sur,23,null,null,null,null
Rosario Sur,21,null,null,null,null
Disc Panamericana,4,null,null,null,null
Disc Panamericana,5,null,null,null,null
Zarate,4,null,null,null,null
DISC Caraffa,0,null,null,null,null
Anchorena,15,null,null,null,null
Anchorena,18,null,null,null,null
Anchorena,21,null,null,null,null
Dialogos,5,null,null,null,null
Rivadavia,13,null,null,null,null
Anchorena,2,null,null,null,null
Anchorena,5,null,null,null,null
Boulevard,3,null,null,null,null
