estacion,hora,q_cafes_llevar_algo_otros_negro1,q_cafes_local_algo_otros_negro1
Las Heras,22,16.0000,4.0000
Alvear,14,59.0000,162.0000
Alberdi,12,null,10.0000
Bulnes,16,14.0000,58.0000
Floresta,15,20.0000,null
Las Heras,0,26.0000,7.0000
Bonpland,9,147.0000,287.0000
Dialogos,4,1.0000,null
CORS EVENTOS,12,15.0000,null
Emilio Castro,20,12.0000,17.0000
Maipu,6,null,3.0000
Las Heras,20,16.0000,35.0000
Dialogos,19,35.0000,18.0000
Anchorena,4,null,null
Buen Ayre,12,125.0000,217.0000
Arroyo Seco,19,454.0000,1391.0000
Lima,11,614.0000,707.0000
Ovidio Lagos,13,null,null
Luis Viale,21,7.0000,53.0000
Alsina,2,60.0000,2.0000
Villa Allende,1,null,1.0000
Santa Rita,3,4.0000,null
Disc Panamericana,3,null,null
Gral Paz Capital,6,810.0000,null
Alberdi,15,null,7.0000
Villa Allende,21,15.0000,56.0000
Trelles,7,166.0000,420.0000
Disc Panamericana,19,4.0000,null
Zarate Brazo Largo,7,1.0000,1.0000
Villa Allende,8,206.0000,875.0000
La Bandera,10,73.0000,740.0000
Trelles,22,19.0000,39.0000
Floresta,7,39.0000,null
Floresta,12,6.0000,null
Lima,2,314.0000,115.0000
America,2,18.0000,null
Anchorena,17,null,null
Florencio Varela,16,12.0000,1.0000
America,20,35.0000,null
Laferrere,5,38.0000,36.0000
AUBASA LP-BA,19,210.0000,297.0000
Zarate,10,30.0000,13.0000
Villa Allende,20,21.0000,205.0000
Fisherton,10,152.0000,933.0000
El Arco,14,31.0000,101.0000
Alsina,19,67.0000,6.0000
Libertador,11,142.0000,297.0000
Alvear,17,93.0000,205.0000
Parque Sarmiento,15,203.0000,76.0000
Boulevard,0,null,null
Buen Ayre,1,81.0000,59.0000
El Arco,11,73.0000,369.0000
Centenera,7,191.0000,21.0000
El Arco,18,49.0000,253.0000
Las Heras,7,52.0000,26.0000
Fisherton,6,158.0000,263.0000
Del Tejar,8,24.0000,null
Bonpland,15,46.0000,205.0000
Santa Fe,9,70.0000,32.0000
Arroyo Seco,10,611.0000,2908.0000
Pilar,9,150.0000,2.0000
Libertador,0,63.0000,67.0000
El Club,8,324.0000,578.0000
America,16,78.0000,null
Bonpland,21,20.0000,50.0000
Libertador,13,61.0000,180.0000
Laferrere,22,11.0000,92.0000
AUBASA BA-LP,6,446.0000,323.0000
Trelles,0,31.0000,70.0000
Parque Sarmiento,22,3.0000,25.0000
Alsina,15,80.0000,7.0000
Olivos,3,1.0000,9.0000
Luis Viale,1,33.0000,46.0000
Zarate Brazo Largo,5,null,null
Cabildo,16,3.0000,96.0000
Maschwitz,22,null,null
Alvear,3,43.0000,62.0000
Luis Viale,4,18.0000,43.0000
La Bandera,1,null,null
Florencio Varela,20,1.0000,null
Pilar,16,57.0000,null
Alvear,21,33.0000,85.0000
Disc Panamericana,8,1.0000,null
El Arco,12,39.0000,172.0000
Gral Paz Capital,16,239.0000,null
Bulnes,0,null,null
Villa Allende,6,50.0000,424.0000
Olivos,23,2.0000,37.0000
Garay,22,4.0000,19.0000
Santa Rita,15,2.0000,15.0000
Gutierrez,12,21.0000,43.0000
Alvear,16,82.0000,224.0000
DISC Echeverria,22,null,17.0000
Gral Paz Capital,1,65.0000,null
Quilmes,4,64.0000,12.0000
Ovidio Lagos,21,null,null
Santa Fe,8,127.0000,33.0000
La Carmela,4,85.0000,null
Villa Luro,5,72.0000,46.0000
Congreso,5,5.0000,2.0000
Boulevard,4,null,null
Garay,16,7.0000,198.0000
Emilio Castro,22,17.0000,8.0000
Pilar,12,31.0000,null
Mitre,19,null,null
Mitre,10,null,null
Maschwitz,8,null,61.0000
Pilar,15,30.0000,null
Amanecer,14,24.0000,null
Libertador,18,167.0000,258.0000
Gral Paz Provincia,11,185.0000,356.0000
Alberdi,8,null,30.0000
Laferrere,23,16.0000,82.0000
Pilar,10,115.0000,null
Garay,15,18.0000,148.0000
Pilar,17,76.0000,1.0000
Centenera,21,12.0000,6.0000
Anchorena,23,null,null
Garay,23,1.0000,17.0000
El Arco,2,null,null
Gral Paz Provincia,15,117.0000,256.0000
Santa Rita,18,2.0000,10.0000
Cabildo,21,5.0000,17.0000
Dialogos,13,12.0000,21.0000
Laferrere,13,2.0000,85.0000
Centenera,3,5.0000,2.0000
Buen Ayre,21,44.0000,53.0000
Parque Sarmiento,9,293.0000,203.0000
DISC Echeverria,14,null,6.0000
Floresta,21,7.0000,null
Rosario Sur,12,null,null
Laferrere,11,18.0000,133.0000
Villa Luro,19,44.0000,241.0000
La Carmela,13,38.0000,null
Olivos,21,8.0000,34.0000
AUBASA LP-BA,23,105.0000,52.0000
Rosario Sur,6,null,null
Alberdi,5,null,5.0000
Buen Ayre,6,246.0000,127.0000
CORS EVENTOS,11,28.0000,null
San Isidro,19,63.0000,179.0000
Libertador,4,89.0000,32.0000
Dialogos,14,12.0000,14.0000
Anchorena,16,null,null
Emilio Castro,2,17.0000,13.0000
Dialogos,6,40.0000,66.0000
Anchorena,0,null,null
El Arco,0,null,null
Alsina,10,54.0000,11.0000
La Carmela,11,51.0000,null
Alvear,10,141.0000,312.0000
Boulevard,11,101.0000,272.0000
Villa Luro,7,233.0000,260.0000
Rosario Sur,4,null,null
Olivos,19,9.0000,72.0000
Boulevard,10,150.0000,380.0000
Fisherton,11,87.0000,634.0000
Disc Panamericana,14,1.0000,null
Parque Sarmiento,1,7.0000,5.0000
CORS EVENTOS,14,36.0000,null
Villa Allende,11,49.0000,903.0000
Villa Luro,8,213.0000,424.0000
Parque Sarmiento,0,11.0000,16.0000
Libertador,20,88.0000,78.0000
Villa Allende,23,1.0000,null
El Club,14,51.0000,310.0000
Libertador,22,41.0000,41.0000
Floresta,16,28.0000,null
Dialogos,22,8.0000,6.0000
Centenera,6,136.0000,25.0000
Zarate Brazo Largo,9,4.0000,1.0000
Fisherton,9,200.0000,753.0000
Pilar,19,68.0000,1.0000
Anchorena,20,null,null
Emilio Castro,3,26.0000,7.0000
Villa Allende,3,null,4.0000
AUBASA BA-LP,17,350.0000,446.0000
Laferrere,17,20.0000,179.0000
Maipu,9,null,3.0000
Gral Paz Provincia,3,107.0000,69.0000
AUBASA LP-BA,10,331.0000,489.0000
Los Incas,1,7.0000,null
Alsina,1,48.0000,null
Buen Ayre,5,292.0000,75.0000
Mitre,18,null,null
AUBASA BA-LP,7,560.0000,488.0000
AUBASA BA-LP,10,494.0000,708.0000
Los Incas,20,7.0000,null
Quilmes,6,96.0000,62.0000
La Carmela,7,185.0000,null
Bonpland,23,23.0000,84.0000
Olivos,9,7.0000,18.0000
America,3,26.0000,null
Fisherton,3,15.0000,null
CORS EVENTOS,8,88.0000,null
DISC Caraffa,3,null,null
Rivadavia,5,null,null
DISC Echeverria,6,null,95.0000
Bonpland,10,99.0000,338.0000
Del Tejar,0,22.0000,1.0000
Gral Paz Capital,10,956.0000,null
Gral Paz Provincia,17,165.0000,301.0000
Zarate,9,28.0000,20.0000
AUBASA BA-LP,16,368.0000,435.0000
DISC Caraffa,20,null,12.0000
Garay,18,12.0000,149.0000
Zarate,22,13.0000,2.0000
Floresta,9,34.0000,null
Laferrere,1,24.0000,64.0000
Arroyo Seco,17,649.0000,2512.0000
Las Heras,15,48.0000,46.0000
Las Heras,21,14.0000,16.0000
Congreso,10,3.0000,23.0000
Santa Fe,12,19.0000,7.0000
Maschwitz,18,null,23.0000
Trelles,23,23.0000,39.0000
Pilar,14,25.0000,null
Del Tejar,16,18.0000,11.0000
AUBASA LP-BA,18,279.0000,379.0000
Quilmes,17,47.0000,145.0000
Rivadavia,7,null,null
Boulevard,15,37.0000,100.0000
Trelles,13,47.0000,224.0000
Congreso,7,6.0000,17.0000
DISC Echeverria,8,null,42.0000
Parque Sarmiento,5,9.0000,57.0000
Alsina,3,44.0000,null
Alberdi,7,null,23.0000
Amanecer,1,20.0000,null
Libertador,9,295.0000,432.0000
Gral Paz Provincia,20,79.0000,132.0000
Cabildo,8,7.0000,170.0000
Luis Viale,17,22.0000,215.0000
Florencio Varela,14,10.0000,3.0000
DISC Caraffa,5,null,null
Buen Ayre,4,99.0000,45.0000
Boulevard,20,16.0000,14.0000
Libertador,3,33.0000,30.0000
Congreso,4,1.0000,null
El Arco,15,55.0000,129.0000
Alsina,20,74.0000,6.0000
Emilio Castro,23,15.0000,14.0000
Las Heras,11,47.0000,63.0000
Libertador,23,53.0000,78.0000
Rivadavia,12,null,null
Florencio Varela,12,17.0000,30.0000
Anchorena,1,null,null
Bonpland,0,38.0000,55.0000
DISC Echeverria,1,null,33.0000
Florencio Varela,8,54.0000,123.0000
Gral Paz Provincia,5,393.0000,219.0000
Garay,8,32.0000,237.0000
Alvear,5,134.0000,75.0000
Rivadavia,14,null,null
Ovidio Lagos,4,null,null
Maschwitz,1,null,11.0000
Laferrere,12,9.0000,98.0000
Ovidio Lagos,7,null,null
Ovidio Lagos,18,null,null
Villa Luro,1,25.0000,50.0000
Santa Rita,9,11.0000,19.0000
Florencio Varela,10,21.0000,88.0000
DISC Echeverria,5,null,130.0000
Pilar,18,64.0000,null
Rivadavia,9,null,null
El Club,21,21.0000,69.0000
America,22,17.0000,null
Cabildo,17,8.0000,73.0000
Trelles,12,50.0000,255.0000
Emilio Castro,10,64.0000,82.0000
Arroyo Seco,16,620.0000,2447.0000
Centenera,9,142.0000,64.0000
Luis Viale,16,33.0000,249.0000
DISC Echeverria,3,null,21.0000
El Club,2,31.0000,58.0000
Floresta,3,10.0000,null
CORS EVENTOS,13,9.0000,null
Pilar,8,235.0000,2.0000
Gral Paz Capital,11,589.0000,null
El Club,9,213.0000,569.0000
Santa Fe,3,null,null
El Arco,5,null,null
Arroyo Seco,0,194.0000,205.0000
Zarate Brazo Largo,4,null,null
Gral Paz Provincia,8,404.0000,404.0000
Trelles,16,105.0000,216.0000
Maschwitz,21,null,7.0000
Garay,5,5.0000,47.0000
Fisherton,4,12.0000,null
Las Heras,10,63.0000,57.0000
Laferrere,15,11.0000,152.0000
Congreso,17,13.0000,18.0000
Garay,11,26.0000,269.0000
Disc Panamericana,1,null,null
Zarate,19,8.0000,1.0000
El Club,11,102.0000,481.0000
Villa Allende,4,2.0000,2.0000
Cabildo,5,6.0000,15.0000
Rosario Sur,3,null,null
Buen Ayre,23,79.0000,55.0000
CORS EVENTOS,10,83.0000,null
Centenera,8,207.0000,74.0000
San Isidro,0,26.0000,19.0000
San Isidro,1,36.0000,20.0000
Los Incas,15,21.0000,null
El Club,10,128.0000,830.0000
Emilio Castro,21,13.0000,9.0000
Libertador,2,67.0000,31.0000
DISC Caraffa,1,null,null
Alberdi,11,null,10.0000
Las Heras,16,65.0000,82.0000
Del Tejar,9,26.0000,3.0000
Ovidio Lagos,11,null,null
Anchorena,13,null,null
Florencio Varela,1,10.0000,null
Buen Ayre,8,389.0000,432.0000
Bulnes,17,15.0000,77.0000
Mitre,13,null,null
Parque Sarmiento,11,99.0000,214.0000
Lima,21,270.0000,154.0000
El Arco,3,null,null
Bulnes,15,6.0000,44.0000
Rosario Sur,0,null,null
Centenera,23,8.0000,2.0000
Zarate,12,43.0000,2.0000
Villa Allende,19,50.0000,371.0000
Del Tejar,10,14.0000,null
Rosario Sur,7,null,null
Alberdi,18,null,6.0000
DISC Echeverria,15,null,7.0000
Gutierrez,7,101.0000,115.0000
Dialogos,7,62.0000,64.0000
Alberdi,6,null,16.0000
Gutierrez,20,24.0000,19.0000
America,0,16.0000,null
Zarate Brazo Largo,15,4.0000,null
AUBASA LP-BA,8,659.0000,371.0000
Lima,22,251.0000,115.0000
Rivadavia,20,null,null
Santa Rita,14,3.0000,8.0000
Gutierrez,13,24.0000,38.0000
Lima,18,858.0000,741.0000
Alvear,6,185.0000,306.0000
Zarate Brazo Largo,12,1.0000,null
Alsina,13,17.0000,6.0000
Villa Luro,18,66.0000,363.0000
Los Incas,21,4.0000,null
Floresta,23,9.0000,null
Gutierrez,4,16.0000,14.0000
Cabildo,22,2.0000,14.0000
Dialogos,5,null,5.0000
El Arco,7,274.0000,272.0000
Ovidio Lagos,3,null,null
Floresta,14,21.0000,null
Quilmes,5,41.0000,21.0000
Garay,14,7.0000,103.0000
La Bandera,7,67.0000,438.0000
DISC Caraffa,22,null,1.0000
DISC Echeverria,21,null,27.0000
Boulevard,18,37.0000,82.0000
Bulnes,9,57.0000,124.0000
Villa Luro,17,80.0000,405.0000
Amanecer,9,261.0000,null
Mitre,21,null,null
Villa Allende,10,122.0000,992.0000
Villa Allende,18,50.0000,437.0000
Amanecer,4,37.0000,null
Ovidio Lagos,5,null,null
AUBASA LP-BA,11,304.0000,409.0000
Congreso,19,7.0000,2.0000
Garay,19,11.0000,220.0000
Anchorena,14,null,null
Zarate Brazo Largo,1,null,null
Bonpland,2,35.0000,57.0000
Rosario Sur,21,null,null
Florencio Varela,5,47.0000,1.0000
Las Heras,6,50.0000,45.0000
Lima,12,426.0000,495.0000
Gral Paz Provincia,19,122.0000,203.0000
Los Incas,4,8.0000,null
Bulnes,11,24.0000,123.0000
Amanecer,22,17.0000,null
Trelles,2,38.0000,30.0000
Cabildo,14,6.0000,92.0000
AUBASA BA-LP,23,114.0000,88.0000
Zarate Brazo Largo,0,null,null
Las Heras,18,28.0000,60.0000
Disc Panamericana,5,null,null
Mitre,4,null,null
Congreso,2,2.0000,1.0000
Pilar,0,24.0000,null
Buen Ayre,9,364.0000,428.0000
Florencio Varela,7,40.0000,163.0000
Zarate,4,null,null
Florencio Varela,21,5.0000,null
America,23,15.0000,null
Del Tejar,4,19.0000,null
La Bandera,21,6.0000,53.0000
Gral Paz Provincia,10,248.0000,417.0000
Fisherton,5,20.0000,1.0000
Santa Fe,0,null,null
Pilar,7,212.0000,null
Emilio Castro,0,16.0000,14.0000
Centenera,18,49.0000,20.0000
Libertador,16,133.0000,274.0000
Lima,4,344.0000,144.0000
Dialogos,1,1.0000,1.0000
Parque Sarmiento,18,362.0000,66.0000
La Carmela,6,176.0000,null
Olivos,10,9.0000,23.0000
El Arco,23,null,null
Centenera,22,7.0000,3.0000
Florencio Varela,4,4.0000,null
Arroyo Seco,1,247.0000,197.0000
Congreso,18,16.0000,8.0000
Gral Paz Capital,2,80.0000,null
Villa Allende,9,165.0000,1037.0000
Floresta,8,33.0000,null
Anchorena,15,null,null
Villa Allende,15,36.0000,278.0000
DISC Caraffa,0,null,null
Mitre,14,null,null
Lima,16,899.0000,805.0000
Del Tejar,15,23.0000,12.0000
Santa Fe,19,31.0000,13.0000
Villa Allende,17,58.0000,515.0000
Trelles,3,79.0000,63.0000
DISC Caraffa,4,null,null
Los Incas,3,8.0000,null
Mitre,17,null,null
DISC Caraffa,8,82.0000,64.0000
Maipu,16,null,20.0000
Alvear,7,256.0000,294.0000
San Isidro,9,124.0000,139.0000
Pilar,2,13.0000,3.0000
Buen Ayre,15,167.0000,305.0000
Arroyo Seco,12,307.0000,1407.0000
Quilmes,7,167.0000,311.0000
Trelles,15,61.0000,176.0000
La Carmela,9,131.0000,2.0000
AUBASA BA-LP,0,145.0000,78.0000
Disc Panamericana,22,null,null
Garay,2,7.0000,14.0000
Zarate,1,11.0000,null
Fisherton,17,201.0000,311.0000
Trelles,14,34.0000,148.0000
El Club,17,104.0000,532.0000
Zarate Brazo Largo,17,1.0000,null
AUBASA BA-LP,15,312.0000,368.0000
DISC Echeverria,7,null,45.0000
Maipu,8,null,8.0000
Laferrere,0,20.0000,86.0000
Maschwitz,6,null,45.0000
Santa Rita,20,4.0000,8.0000
Disc Panamericana,0,null,null
San Isidro,4,41.0000,19.0000
Santa Rita,1,2.0000,null
Maschwitz,23,null,2.0000
Parque Sarmiento,7,303.0000,255.0000
Fisherton,19,156.0000,211.0000
Pilar,13,21.0000,null
Parque Sarmiento,21,115.0000,17.0000
Maschwitz,9,null,52.0000
America,12,31.0000,null
Alberdi,23,null,1.0000
Arroyo Seco,6,427.0000,962.0000
Rosario Sur,23,null,null
Congreso,13,2.0000,6.0000
Bulnes,22,null,1.0000
Santa Fe,23,null,null
La Bandera,11,34.0000,653.0000
Disc Panamericana,15,7.0000,null
Lima,9,918.0000,1015.0000
Congreso,20,2.0000,1.0000
Boulevard,8,197.0000,304.0000
Zarate Brazo Largo,18,1.0000,null
Los Incas,12,13.0000,null
Quilmes,13,30.0000,85.0000
Centenera,1,8.0000,5.0000
Amanecer,5,66.0000,null
Santa Rita,6,13.0000,15.0000
Congreso,3,3.0000,1.0000
DISC Caraffa,11,35.0000,82.0000
Libertador,6,127.0000,145.0000
Floresta,1,20.0000,null
El Club,4,17.0000,19.0000
Trelles,9,257.0000,351.0000
Ovidio Lagos,20,null,null
Gral Paz Provincia,12,105.0000,230.0000
Los Incas,19,11.0000,null
Arroyo Seco,15,521.0000,1938.0000
Garay,6,22.0000,96.0000
Lima,15,740.0000,635.0000
Floresta,4,19.0000,null
Rivadavia,13,null,null
Gutierrez,10,64.0000,58.0000
DISC Caraffa,16,2.0000,22.0000
Congreso,12,null,5.0000
Maipu,22,null,null
Bonpland,8,162.0000,413.0000
Trelles,20,29.0000,57.0000
Dialogos,10,40.0000,54.0000
Zarate Brazo Largo,2,null,null
Garay,9,26.0000,305.0000
AUBASA LP-BA,9,507.0000,434.0000
San Isidro,10,109.0000,139.0000
Quilmes,19,21.0000,76.0000
Anchorena,2,null,null
Fisherton,22,22.0000,null
Quilmes,10,150.0000,243.0000
AUBASA LP-BA,3,135.0000,59.0000
Luis Viale,3,9.0000,41.0000
America,4,24.0000,null
Congreso,15,6.0000,6.0000
AUBASA LP-BA,22,93.0000,89.0000
San Isidro,7,152.0000,123.0000
Boulevard,3,null,null
Dialogos,15,24.0000,26.0000
Los Incas,6,39.0000,null
Los Incas,2,6.0000,null
Alberdi,4,null,2.0000
Cabildo,9,11.0000,98.0000
Quilmes,15,38.0000,90.0000
Maschwitz,16,null,20.0000
Alvear,23,33.0000,71.0000
Zarate Brazo Largo,21,2.0000,null
Florencio Varela,15,11.0000,null
Buen Ayre,20,56.0000,84.0000
Floresta,5,65.0000,null
San Isidro,23,28.0000,21.0000
Anchorena,5,null,null
Disc Panamericana,4,null,null
La Carmela,23,25.0000,null
Alvear,20,42.0000,95.0000
Villa Luro,16,77.0000,352.0000
San Isidro,2,22.0000,16.0000
Maschwitz,3,null,10.0000
Arroyo Seco,4,158.0000,102.0000
Maschwitz,10,null,35.0000
Arroyo Seco,23,179.0000,153.0000
Del Tejar,12,11.0000,1.0000
Dialogos,23,16.0000,3.0000
Florencio Varela,22,10.0000,null
Quilmes,0,28.0000,27.0000
Quilmes,1,46.0000,17.0000
Villa Luro,3,34.0000,24.0000
Del Tejar,14,12.0000,9.0000
DISC Echeverria,12,null,14.0000
Santa Fe,18,30.0000,11.0000
Villa Luro,4,37.0000,34.0000
Buen Ayre,3,99.0000,23.0000
Amanecer,17,43.0000,null
Quilmes,12,52.0000,133.0000
Anchorena,21,null,null
Alvear,2,47.0000,68.0000
Gutierrez,5,50.0000,21.0000
Bulnes,14,5.0000,37.0000
Alsina,17,145.0000,15.0000
San Isidro,8,144.0000,120.0000
Anchorena,18,null,null
Parque Sarmiento,4,5.0000,16.0000
CORS EVENTOS,16,76.0000,null
CORS EVENTOS,21,null,null
CORS EVENTOS,18,2.0000,null
